,x,y,z
0,-379.8153991699219,-200.1748809814453,16.413673400878906
1,-379.6844787597656,-200.68260192871094,16.428956985473633
2,-379.55352783203125,-201.1900634765625,16.444232940673828
3,-379.4225158691406,-201.697265625,16.45947265625
4,-379.29144287109375,-202.20419311523438,16.474721908569336
5,-379.1604309082031,-202.71087646484375,16.48990821838379
6,-379.0293884277344,-203.21731567382812,16.505001068115234
7,-378.8983459472656,-203.72354125976562,16.52001953125
8,-378.7673034667969,-204.22952270507812,16.534950256347656
9,-378.6363220214844,-204.73524475097656,16.54984474182129
10,-378.50531005859375,-205.24072265625,16.564695358276367
11,-378.37432861328125,-205.74594116210938,16.579490661621094
12,-378.243408203125,-206.2509002685547,16.594221115112305
13,-378.1125183105469,-206.75558471679688,16.608928680419922
14,-377.98162841796875,-207.25999450683594,16.62371253967285
15,-377.85076904296875,-207.76414489746094,16.638566970825195
16,-377.719970703125,-208.26800537109375,16.653514862060547
17,-377.5892028808594,-208.7716522216797,16.668514251708984
18,-377.45849609375,-209.2749786376953,16.683622360229492
19,-377.3278503417969,-209.7779998779297,16.698909759521484
20,-377.197265625,-210.2807159423828,16.714393615722656
21,-377.0667724609375,-210.78311157226562,16.73003578186035
22,-376.9364013671875,-211.2852020263672,16.745826721191406
23,-376.8061828613281,-211.78700256347656,16.761709213256836
24,-376.6761169433594,-212.2884979248047,16.777652740478516
25,-376.5462646484375,-212.78973388671875,16.793651580810547
26,-376.41656494140625,-213.29066467285156,16.809696197509766
27,-376.2869873046875,-213.7913360595703,16.825777053833008
28,-376.1575622558594,-214.2917938232422,16.841930389404297
29,-376.02825927734375,-214.79200744628906,16.858118057250977
30,-375.89910888671875,-215.29196166992188,16.87434196472168
31,-375.7701110839844,-215.7916717529297,16.890602111816406
32,-375.6412048339844,-216.29112243652344,16.906946182250977
33,-375.512451171875,-216.79029846191406,16.923402786254883
34,-375.3837890625,-217.28921508789062,16.939952850341797
35,-375.2553405761719,-217.787841796875,16.956588745117188
36,-375.12701416015625,-218.2862091064453,16.973285675048828
37,-374.9988098144531,-218.78433227539062,16.98999786376953
38,-374.8708190917969,-219.2821807861328,17.006725311279297
39,-374.7429504394531,-219.77980041503906,17.023439407348633
40,-374.615234375,-220.2771453857422,17.0401668548584
41,-374.48773193359375,-220.7742919921875,17.05684471130371
42,-374.3603210449219,-221.27120971679688,17.073471069335938
43,-374.2331237792969,-221.76792907714844,17.090009689331055
44,-374.1060791015625,-222.2644500732422,17.10651969909668
45,-373.9791564941406,-222.76075744628906,17.122976303100586
46,-373.8524169921875,-223.25682067871094,17.1393985748291
47,-373.725830078125,-223.75271606445312,17.155792236328125
48,-373.5993957519531,-224.24842834472656,17.1721248626709
49,-373.47314453125,-224.74391174316406,17.18842887878418
50,-373.3470458984375,-225.2392120361328,17.2047061920166
51,-373.2210693359375,-225.73434448242188,17.220951080322266
52,-373.0953369140625,-226.229248046875,17.237178802490234
53,-372.9697265625,-226.72398376464844,17.25336456298828
54,-372.84429931640625,-227.21853637695312,17.269508361816406
55,-372.71905517578125,-227.712890625,17.28558921813965
56,-372.593994140625,-228.20704650878906,17.301605224609375
57,-372.4690856933594,-228.7010040283203,17.31755828857422
58,-372.3443603515625,-229.19476318359375,17.333459854125977
59,-372.2197265625,-229.6883087158203,17.349294662475586
60,-372.09527587890625,-230.18165588378906,17.365066528320312
61,-371.970947265625,-230.67481994628906,17.380765914916992
62,-371.8466796875,-231.1677703857422,17.396413803100586
63,-371.7225341796875,-231.6605224609375,17.412002563476562
64,-371.59844970703125,-232.15306091308594,17.427600860595703
65,-371.47442626953125,-232.64537048339844,17.443220138549805
66,-371.35040283203125,-233.137451171875,17.4588623046875
67,-371.2264099121094,-233.62930297851562,17.474523544311523
68,-371.1024475097656,-234.1209259033203,17.490190505981445
69,-370.9784851074219,-234.6123046875,17.505918502807617
70,-370.8546142578125,-235.10340881347656,17.521703720092773
71,-370.7307434082031,-235.5942840576172,17.537551879882812
72,-370.60693359375,-236.0849151611328,17.553457260131836
73,-370.483154296875,-236.57534790039062,17.56938362121582
74,-370.35943603515625,-237.06553649902344,17.585304260253906
75,-370.2358703613281,-237.5555419921875,17.601232528686523
76,-370.1123352050781,-238.0452880859375,17.617176055908203
77,-369.9888610839844,-238.5348358154297,17.633129119873047
78,-369.8654479980469,-239.02413940429688,17.64910316467285
79,-369.7420959472656,-239.5132293701172,17.665111541748047
80,-369.61883544921875,-240.00210571289062,17.681154251098633
81,-369.4956359863281,-240.4907684326172,17.697229385375977
