,x,y,z
0,-151.67591857910156,-165.2069854736328,-10.257575988769531
1,-151.32171630859375,-165.17138671875,-10.258237838745117
2,-150.96749877929688,-165.1381378173828,-10.258962631225586
3,-150.61331176757812,-165.10711669921875,-10.259727478027344
4,-150.2591552734375,-165.07821655273438,-10.260523796081543
5,-149.90504455566406,-165.05142211914062,-10.261356353759766
6,-149.55096435546875,-165.02658081054688,-10.262225151062012
7,-149.1969757080078,-165.00364685058594,-10.2631196975708
8,-148.84307861328125,-164.98251342773438,-10.264032363891602
9,-148.48927307128906,-164.96299743652344,-10.264967918395996
10,-148.1355743408203,-164.9450225830078,-10.265935897827148
11,-147.79788208007812,-164.9447479248047,-10.264660835266113
12,-147.4594268798828,-164.94154357910156,-10.263501167297363
13,-147.12741088867188,-164.9427947998047,-10.263470649719238
14,-146.7962188720703,-164.94390869140625,-10.263741493225098
15,-146.46511840820312,-164.94308471679688,-10.264071464538574
16,-146.13414001464844,-164.94168090820312,-10.26447582244873
17,-145.80337524414062,-164.94049072265625,-10.265068054199219
18,-145.47280883789062,-164.93959045410156,-10.266088485717773
19,-145.1425018310547,-164.93869018554688,-10.267528533935547
20,-144.81243896484375,-164.93765258789062,-10.269216537475586
21,-144.48255920410156,-164.93646240234375,-10.271035194396973
22,-144.15289306640625,-164.9351806640625,-10.272931098937988
23,-143.82339477539062,-164.93386840820312,-10.274858474731445
24,-143.49407958984375,-164.93252563476562,-10.2767915725708
25,-143.16893005371094,-164.93539428710938,-10.278087615966797
26,-142.84359741210938,-164.9371337890625,-10.279401779174805
27,-142.51840209960938,-164.9383544921875,-10.280869483947754
28,-142.19430541992188,-164.94076538085938,-10.28226375579834
29,-141.8702850341797,-164.94326782226562,-10.283719062805176
30,-141.54649353027344,-164.94598388671875,-10.285179138183594
31,-141.2228546142578,-164.94891357421875,-10.286654472351074
32,-140.8994140625,-164.95211791992188,-10.288135528564453
33,-140.57615661621094,-164.95553588867188,-10.289541244506836
34,-140.2530517578125,-164.95921325683594,-10.290851593017578
35,-139.9301300048828,-164.96299743652344,-10.292069435119629
36,-139.6073455810547,-164.9669189453125,-10.293145179748535
37,-139.28469848632812,-164.97088623046875,-10.294120788574219
38,-138.9622039794922,-164.9749298095703,-10.294999122619629
39,-138.63987731933594,-164.97901916503906,-10.29576301574707
40,-138.3177032470703,-164.98313903808594,-10.296454429626465
41,-137.9956817626953,-164.98724365234375,-10.297053337097168
42,-137.67381286621094,-164.99134826660156,-10.297563552856445
43,-137.3520965576172,-164.99537658691406,-10.298011779785156
44,-137.03048706054688,-164.9993438720703,-10.298433303833008
45,-136.708984375,-165.00320434570312,-10.298842430114746
46,-136.3875732421875,-165.00697326660156,-10.299271583557129
47,-136.0662384033203,-165.01068115234375,-10.299674987792969
48,-135.7449951171875,-165.01425170898438,-10.300090789794922
49,-135.4237518310547,-165.01766967773438,-10.300514221191406
50,-135.1025390625,-165.0209503173828,-10.30096435546875
51,-134.78128051757812,-165.0240936279297,-10.301417350769043
52,-134.4599609375,-165.02706909179688,-10.301885604858398
53,-134.13853454589844,-165.02993774414062,-10.30235767364502
54,-133.8169708251953,-165.03265380859375,-10.302834510803223
55,-133.49522399902344,-165.0352325439453,-10.303295135498047
56,-133.17323303222656,-165.0376739501953,-10.30376148223877
57,-132.8509979248047,-165.03997802734375,-10.30424976348877
58,-132.5284423828125,-165.04217529296875,-10.304774284362793
59,-132.2054901123047,-165.044189453125,-10.305310249328613
60,-131.8821258544922,-165.04612731933594,-10.305858612060547
61,-131.55831909179688,-165.04794311523438,-10.306392669677734
62,-131.23403930664062,-165.04966735839844,-10.306884765625
63,-130.90927124023438,-165.05128479003906,-10.30728530883789
64,-130.58396911621094,-165.0528564453125,-10.30759048461914
65,-130.25804138183594,-165.05438232421875,-10.30783748626709
66,-129.93150329589844,-165.0557861328125,-10.308055877685547
67,-129.60430908203125,-165.05714416503906,-10.308205604553223
68,-129.2764129638672,-165.0583953857422,-10.308319091796875
69,-128.94778442382812,-165.05958557128906,-10.308404922485352
70,-128.61837768554688,-165.0605926513672,-10.30850601196289
71,-128.2882080078125,-165.06146240234375,-10.30854606628418
72,-127.9572525024414,-165.062255859375,-10.308551788330078
73,-127.62547302246094,-165.06295776367188,-10.308629035949707
74,-127.29290008544922,-165.06361389160156,-10.308783531188965
75,-126.95954132080078,-165.064208984375,-10.308987617492676
76,-126.62538146972656,-165.06471252441406,-10.3092622756958
77,-126.29046630859375,-165.06515502929688,-10.309603691101074
78,-125.95482635498047,-165.06552124023438,-10.310039520263672
79,-125.61844635009766,-165.0658416748047,-10.310554504394531
80,-125.28137969970703,-165.06617736816406,-10.311162948608398
81,-124.94390106201172,-165.06646728515625,-10.31186294555664
82,-124.60638427734375,-165.06674194335938,-10.312704086303711
83,-124.26911163330078,-165.06698608398438,-10.313693046569824
84,-123.93217468261719,-165.06719970703125,-10.31484317779541
85,-123.59555053710938,-165.06736755371094,-10.316052436828613
86,-123.25919342041016,-165.0675506591797,-10.317312240600586
87,-122.9230728149414,-165.06768798828125,-10.318591117858887
88,-122.58716583251953,-165.0677490234375,-10.319826126098633
89,-122.25144958496094,-165.06776428222656,-10.321025848388672
90,-121.91532135009766,-165.06765747070312,-10.3220853805542
91,-121.57853698730469,-165.0674285888672,-10.323078155517578
92,-121.24110412597656,-165.06710815429688,-10.32400131225586
93,-120.90298461914062,-165.066650390625,-10.324861526489258
94,-120.56423950195312,-165.06605529785156,-10.325653076171875
95,-120.22486114501953,-165.06533813476562,-10.326393127441406
96,-119.8848648071289,-165.06442260742188,-10.327099800109863
97,-119.54422760009766,-165.0633544921875,-10.327781677246094
98,-119.20295715332031,-165.0620574951172,-10.328471183776855
99,-118.86103057861328,-165.060546875,-10.329150199890137
100,-118.5184555053711,-165.05886840820312,-10.329825401306152
101,-118.17520904541016,-165.0569610595703,-10.330511093139648
102,-117.83130645751953,-165.05482482910156,-10.331191062927246
103,-117.48672485351562,-165.05247497558594,-10.331873893737793
104,-117.14144897460938,-165.0499725341797,-10.332592964172363
105,-116.79545593261719,-165.04721069335938,-10.33333969116211
106,-116.44877624511719,-165.04420471191406,-10.334107398986816
107,-116.10134887695312,-165.041015625,-10.334890365600586
108,-115.75318145751953,-165.03762817382812,-10.335677146911621
109,-115.40425109863281,-165.03404235839844,-10.336483001708984
110,-115.0545654296875,-165.03025817871094,-10.337285995483398
